#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
65.512798,103,1324.5266
-167.847481,185,1326.724226
-293.567273,253,1329.645453
-262.267096,266,1332.701633
-317.729635,267,1335.760215
-209.360359,222,1338.368828
-464.388903,320,1342.081944
-278.577047,266,1345.158966
-253.944902,217,1347.852525
-167.608657,209,1350.268749
47.608413,130,1351.747682
-245.934187,241,1354.523086
-427.512223,320,1358.264598
-135.52093,191,1360.431621
-307.263772,283,1363.701024
4.620127,131,1365.205008
48.930114,128,1366.676909
-179.54739,194,1368.951999
-196.12626,196,1371.201694
-416.986566,297,1374.849514
-214.241393,212,1377.475221
-331.286932,302,1380.956148
-455.527971,320,1384.631233
-391.658356,293,1388.019781
-227.474868,229,1390.628016
-276.576168,264,1393.725208
68.31123,105,1394.91714
-248.096745,256,1397.858386
-279.498108,253,1400.767293
13.457185,144,1402.406719
-330.574154,271,1405.656543
-196.517721,231,1408.597338
-207.384326,229,1411.285688
-157.948094,201,1413.592187
-203.245118,216,1416.139143
-0.026125,144,1417.803879
-286.662564,252,1420.770227
-286.752153,257,1423.734303
-316.554471,273,1426.868163
-226.479315,231,1429.648407
-310.386733,262,1432.715459
41.748968,133,1434.305982
-501.534642,320,1438.583382
-562.228148,320,1444.902114
47.611837,131,1446.420069
-286.469339,292,1449.756734
-362.58951,296,1453.209583
34.865039,110,1454.48242
-262.610846,238,1457.212298
-289.49421,235,1459.91974
40.56964,133,1461.431283
61.628454,111,1462.751081
-258.16664,241,1465.742676
-370.534883,291,1469.42053
8.040912,134,1471.825836
-288.001971,258,1474.829759
0.249673,146,1476.548755
55.38323,107,1477.77196
-315.055719,250,1480.629653
-346.243961,278,1483.876072
-217.577735,225,1486.4745
-222.893234,246,1489.367814
-215.116885,231,1492.024098
-273.379981,265,1495.273551
-226.790515,240,1498.25673
-447.554344,320,1501.959761
-217.230994,245,1505.783603
-163.032698,211,1509.181447
-258.445754,251,1512.809159
-229.975489,244,1516.429713
-227.452683,209,1519.449252
-207.788651,225,1523.027629
-429.595529,304,1527.098393
-321.175622,270,1530.403955
-288.197289,268,1534.46678
-229.387978,238,1537.646398
-245.376361,237,1540.514417
-223.64292,253,1543.602144
-241.622316,245,1546.995435
44.752721,126,1548.450292
-266.816304,258,1551.556601
-167.661796,216,1554.411875
-183.15996,222,1557.428104
-307.109877,266,1560.660265
-303.004898,244,1563.623318
21.940523,117,1565.011671
-222.090051,241,1567.838689
-208.287634,224,1572.914024
-215.645008,227,1575.634157
-205.468438,245,1578.973889
-235.149655,268,1583.21306
-320.855388,313,1587.734643
-236.83852,247,1590.759766
-292.551934,285,1594.64306
-117.361582,178,1596.962933
-208.645988,218,1599.550655
-322.135389,264,1603.114772
42.022244,141,1604.842723
8.59935,138,1606.577767
-230.969165,217,1610.114282
-236.508062,216,1613.351536
-208.918458,230,1617.392507
54.500687,121,1619.224416
-385.520422,320,1623.339526
-276.258653,282,1626.90931
-290.216594,272,1630.035079
-326.402516,285,1633.542281
-209.275175,226,1636.201936
-335.084505,276,1639.383033
-201.110472,205,1641.783253
-196.077968,212,1644.257035
56.240399,106,1645.475799
56.872901,122,1647.080207
1.221487,143,1648.733046
2.58537,136,1650.305169
-338.080053,279,1653.52836
36.06309,140,1655.140127
-189.758032,193,1657.425344
74.985342,103,1658.605196
-339.633659,303,1662.098848
-275.020887,251,1664.995946
-246.288246,257,1668.012833
-224.460407,257,1670.989699
-185.002201,225,1673.583438
-160.65976,208,1676.023318
-248.570003,310,1679.79599
-279.840563,247,1682.651962
-248.956624,245,1685.474584
-217.389199,244,1688.331383
14.347974,142,1689.99892
-300.770037,268,1693.108657
-16.57842,141,1694.720852
-295.548153,263,1699.916195
-250.402787,243,1702.704224
-252.535126,231,1705.421548
-358.995093,280,1708.842892
-327.835437,254,1711.75319
70.40792,114,1713.080344
69.589633,104,1714.271133
74.668464,107,1715.497302
-359.644801,311,1719.602981
38.201096,113,1720.990703
-265.11004,252,1724.348157
-283.089634,282,1728.00897
-436.383995,311,1732.718421
-268.153115,273,1736.587904
-175.936862,243,1739.487669
-166.541884,211,1741.918939
-320.974114,276,1745.107178
-0.172882,138,1746.709483
34.964562,134,1748.478091
-220.873022,250,1751.779002
-400.097231,289,1755.750451
-273.748633,268,1760.164964
-292.946096,236,1763.095503
-4.115695,137,1764.774705
-425.544581,309,1768.705385
-156.978844,214,1771.234725
-238.657725,236,1774.03762
-208.593419,223,1776.698846
-3.400153,156,1778.635798
-455.892986,320,1782.476115
-152.725216,224,1785.164932
-342.662491,312,1788.931037
-326.47957,290,1792.407204
66.343982,122,1794.057209
-201.075228,239,1797.094519
-259.936825,271,1800.332945
-233.968794,235,1803.151192
-216.689597,244,1806.051852
44.286593,133,1807.739545
70.427902,109,1809.153611
-189.235143,236,1812.34367
36.048494,119,1813.922048
-241.514333,249,1817.147513
59.290974,116,1818.518706
-215.789589,270,1821.897682
-277.883902,294,1827.943198
-320.655287,290,1831.407033
-320.124667,280,1834.740698
64.930551,111,1836.051791
-457.462997,320,1839.913027
-355.861368,311,1843.772357
-319.183281,285,1847.186665
-304.812842,291,1850.65266
-1.004339,156,1852.503123
-4.283794,148,1854.260101
-204.422461,229,1857.170369
-269.19144,266,1860.323318
-181.39194,236,1863.330879
65.081167,110,1864.685094
-185.174959,232,1867.546601
-270.307127,239,1870.599866
-174.973948,202,1873.144134
-246.226157,278,1876.620528
-281.296832,295,1880.256247
-192.453283,216,1882.937266
-235.194458,227,1885.81031
-250.939729,266,1889.347731
-305.388489,260,1892.557445
-244.193618,241,1895.537925
-268.637505,239,1898.556737
-298.520756,275,1902.0554
-249.359993,258,1905.357519
-204.61365,240,1908.493248
-170.435998,200,1911.186239
-213.091161,236,1914.090532
0.581759,156,1916.037054
-320.792278,262,1919.444348
-202.652467,230,1922.737722
-237.462702,282,1926.640464
77.019439,104,1927.938825
64.932604,112,1929.296894
-350.127989,302,1933.199756
-291.881693,304,1936.97109
-181.739706,220,1939.675872
-246.247997,234,1942.698894
6.748883,147,1944.469566
62.258969,117,1945.855763
-155.843823,228,1948.836777
-162.29808,225,1951.649253
-313.505221,267,1957.318987
-200.61134,249,1960.49536
-245.920158,253,1963.586388
68.897225,110,1964.975734
-232.757879,240,1968.115501
-289.780002,282,1971.51356
-215.217346,211,1974.093984
-231.577403,235,1977.174791
64.309199,117,1978.616967
-250.45641,227,1981.417621
-176.189745,215,1984.235031
21.733868,134,1985.911807
-167.015998,212,1988.551898
-365.183705,312,1992.374558
-263.877875,252,1996.111925
-220.062431,239,1999.625114
-215.012811,227,2002.791395
-265.38385,287,2006.547332
-306.38894,282,2010.214791
-199.95844,211,2012.863198
-270.401779,249,2016.196234
-188.310729,219,2020.077364
-309.089761,263,2023.799529
-202.375569,220,2026.846756
-167.71577,229,2029.925726
57.168615,132,2031.516748
-274.938765,308,2035.248833
-183.24214,220,2038.241881
-143.027059,193,2040.472582
-307.919462,285,2043.771103
-273.874034,274,2046.940522
-1015.87874,60,2047.673803
-379.903195,308,2051.73741
-208.214195,225,2054.772692
76.192552,104,2056.23245
-153.387849,203,2059.131544
66.719688,112,2060.452935
-282.864555,274,2063.846595
76.628056,104,2065.094472
74.215831,108,2066.480391
75.282113,107,2068.009713
-202.856601,242,2071.16372
-210.255052,258,2074.991585
-174.030926,211,2077.994204
-193.660459,225,2080.810001
-193.841566,248,2083.856443
-335.127864,290,2090.063549
-247.277804,232,2092.948275
-349.539084,296,2096.727777
-351.906719,296,2100.484275
-186.08469,226,2103.332196
64.737128,108,2104.682769
-143.605707,188,2107.235851
-458.76976,320,2111.352785
-188.323382,218,2114.451911
-195.081384,232,2117.654966
-278.509965,264,2120.911758
-0.246202,152,2122.943829
-200.311357,242,2125.923225
-140.163941,195,2128.64108
-288.163206,283,2132.300273
-243.719581,232,2135.637184
-184.772117,223,2138.62403
-213.584741,221,2141.61721
-155.331417,231,2145.005987
-194.155203,259,2148.64522
-290.895031,283,2152.468235
-265.346967,255,2155.865635
-198.208512,225,2159.078738
32.330326,133,2160.86155
-216.865798,228,2164.00563
73.014702,110,2165.560378
-215.831728,204,2168.487409
-270.588137,264,2172.036542
-116.833189,176,2174.34932
-215.580465,224,2177.364572
64.255685,112,2179.043448
-235.682807,251,2182.116781
-215.836258,219,2184.937941
12.201273,150,2186.92713
63.89072,107,2188.25925
-214.758101,230,2191.310431
-282.905769,269,2194.601874
84.586794,103,2195.885776
-193.962854,217,2198.54853
-185.189332,232,2201.346689
-321.619302,280,2204.593559
62.596935,120,2206.09571
-353.512996,306,2209.767943
-137.551199,187,2211.940051
-169.903027,219,2214.485792
70.89407,107,2215.713109
59.641775,120,2217.28602
-163.018952,201,2221.801404
-208.625536,247,2224.665829
-285.121014,267,2227.812926
0.026174,150,2229.559277
-200.403185,218,2232.112341
-236.14336,246,2234.959709
-172.914309,209,2237.361587
-212.843188,248,2240.421283
-241.814458,246,2243.584823
-137.92351,205,2246.079364
-320.529721,271,2249.66731
-212.55934,240,2252.705584
-192.219833,211,2255.424734
-232.132063,246,2258.46754
60.922483,114,2259.873914
-268.560023,272,2263.124134
-202.293196,247,2266.174395
-224.434171,213,2268.782705
-168.714953,221,2271.521894
73.423213,110,2272.909728
-180.476528,228,2275.752774
-271.513045,283,2279.587154
-218.488892,217,2282.269501
-212.643256,236,2285.193982
-210.352076,253,2288.320405
-414.872986,320,2292.305044
-171.892044,233,2295.153013
64.695746,114,2296.545374
-352.399371,287,2300.137977
-1.528913,149,2301.992943
-279.943866,251,2305.052919
-167.208721,207,2307.755162
-7.396767,152,2309.623825
-365.76308,292,2313.171635
-340.110614,283,2316.73384
-216.464136,266,2320.062573
-185.717963,210,2322.635042
-206.732866,234,2325.557034
-158.581353,219,2328.299815
-257.042416,248,2331.300224
-217.429036,254,2334.47528
-290.83356,266,2337.966393
-151.30699,219,2340.674154
-277.133437,269,2346.000192
-190.921853,210,2348.633865
-172.533786,220,2351.385453
10.853086,154,2353.296963
-216.134134,252,2356.4478
-396.612831,319,2360.582568
-131.933092,237,2364.022587
78.53903,103,2365.338772
-354.350218,282,2369.649436
-234.905046,261,2373.857023
-231.553486,251,2377.376877
67.010746,115,2378.831703
57.785532,125,2380.432081
-367.57653,286,2384.005807
83.150325,102,2385.274662
-231.863763,234,2388.168705
80.042953,102,2389.397583
-228.439901,243,2392.466816
-324.529959,285,2396.080448
-192.415425,209,2398.902225
-293.424559,278,2402.330545
-271.390935,269,2405.753949
-236.354776,227,2408.810869
-310.65046,251,2412.261303
-370.420846,272,2415.619833
78.548338,105,2416.885647
61.189709,110,2418.212917
-294.265756,297,2421.912847
-226.130947,242,2424.873916
-208.185474,250,2428.127474
-185.466551,209,2430.683041
-222.426689,227,2433.55836
-266.162469,244,2436.543839
78.452428,107,2437.841302
-277.822644,296,2441.537761
-187.874357,238,2444.762746
-194.959816,228,2447.730325
37.85958,129,2449.305007
-353.154084,300,2452.982871
-242.964344,234,2455.850554
-283.741178,261,2459.23406
-300.429459,280,2462.790276
-349.710617,271,2466.156094
-288.809236,298,2469.918276
-219.768843,250,2473.682919
-174.546029,225,2478.664513
-21.763722,161,2480.65738
-475.000679,320,2484.645367
-174.069285,212,2487.516396
-191.039289,237,2490.56051
-14.407916,155,2492.525026
-379.433755,303,2496.315159
80.147903,103,2497.559451
-196.053815,223,2500.275243
66.824982,113,2501.746189
-295.692057,275,2505.117621
-189.101669,223,2508.002944
-111.265164,179,2510.344432
-337.107227,279,2514.074334
